,0: Calm / low-volatility,1: Bear / drawdown,2: Stress / bear,3: Recovery / risk-on
0: Calm / low-volatility,0.9847786457544376,0.008157215488791482,2.347053870907433e-186,0.007064138756770952
1: Bear / drawdown,0.005934788501553209,0.9798332659664156,0.006605246951919802,0.007626698580111461
2: Stress / bear,9.55182792107355e-240,0.01454131468566353,0.9798762549693018,0.005582430345034745
3: Recovery / risk-on,0.011823723995432123,0.00832392229950175,0.003766163446352302,0.9760861902587138
