n_states,log_likelihood,n_parameters,aic,bic
2,-30519.87302538409,23,61085.74605076818,61238.440284090655
3,-30502.126589278596,38,61080.25317855719,61332.53060752476
4,-23474.356479835766,55,47058.71295967153,47423.851343703536
