n_states,log_likelihood,n_parameters,aic,bic
2,-18218.696994109254,23,36483.39398821851,36622.28718764763
3,-15580.75808291125,38,31237.5161658225,31466.991886618434
4,-13901.545236712025,55,27913.09047342405,28245.226385102378
