n_states,log_likelihood,n_parameters,aic,bic
2,-28603.320604719524,23,57252.64120943905,57408.92566736789
3,-22857.564205721483,38,45791.128411442965,46049.33751584714
4,-18877.73487998591,55,37865.46975997182,38239.193463714706
