,0: Stress / bear,1: Recovery / risk-on,2: Recovery / risk-on,3: Calm / low-volatility
0: Stress / bear,0.9094796413564296,1.5593349330893584e-37,0.019336781632589985,0.07118357701098044
1: Recovery / risk-on,3.6646309295526007e-48,0.9260339687757279,0.018012307796376748,0.0559537234278954
2: Recovery / risk-on,0.022674276572910722,0.04766989793211622,0.929655825494973,7.372533894367491e-35
3: Calm / low-volatility,0.04134344327090369,0.07355319194228262,6.139548996396975e-28,0.8851033647868136
