,0: Stress / bear,1: Calm / bull,2: High-volatility / sideways,3: Recovery / risk-on
0: Stress / bear,0.9788460799297373,0.007092033298324846,0.0068728339880923,0.007189052783845539
1: Calm / bull,0.010720486092122719,0.9799307192978159,4.0516930425821495e-77,0.009348794610061316
2: High-volatility / sideways,0.01110542021486792,2.8577739170075e-215,0.9860246298831702,0.0028699499019620217
3: Recovery / risk-on,0.010948492447770812,0.012772819044241995,0.0014148049485164457,0.9748638835594707
