,0: High-volatility / sideways,1: Bear / drawdown,2: Stress / bear,3: Calm / bull
0: High-volatility / sideways,0.978010464755889,0.010686301973125955,0.00601059842496616,0.0052926348460189026
1: Bear / drawdown,0.013655866249489449,0.9420265840979921,3.188249757935804e-36,0.044317549652518384
2: Stress / bear,0.013851200726502809,3.4875869770281644e-165,0.9861487992734972,3.504727987371486e-195
3: Calm / bull,0.0006036788141429935,0.03788837942713831,1.1787576976407223e-125,0.9615079417587187
