,0: Bear / drawdown,1: Recovery / risk-on,2: Bear / drawdown,3: Recovery / risk-on,4: Calm / low-volatility,5: Stress / bear
0: Bear / drawdown,9.023333216834638e-27,2.1314268896346372e-27,0.9811051943371696,1.4787233001815954e-62,0.018894805662830427,1.940186700814248e-44
1: Recovery / risk-on,5.140174073061269e-43,0.9685671169890328,0.011632041361282036,0.008695167988687321,0.011105673660998008,0.0
2: Bear / drawdown,0.9712638255732446,0.013522631984272318,1.3057492892341009e-30,0.00675906155355632,1.1960324459776535e-20,0.008454480888926924
3: Recovery / risk-on,0.007356298622525774,0.008755121639174036,1.8174146987395453e-05,0.982596568451505,0.0,0.0012738371398077887
4: Calm / low-volatility,0.00697119053864509,0.015541992959475857,1.0694512447853125e-52,0.0,0.9764284799563847,0.0010583365454943823
5: Stress / bear,0.011720241642784065,0.0,3.369009896493182e-08,0.004645644554153828,0.0,0.983634080112963
