,0: Calm / bull,1: High-volatility / sideways,2: Stress / bear,3: Bear / drawdown
0: Calm / bull,0.963041543467236,0.000445395323386381,0.0,0.03651306120937764
1: High-volatility / sideways,0.002763054291849167,0.9812416335122991,0.004827215904804602,0.011168096291047234
2: Stress / bear,0.0,0.017007362141675326,0.9829926378583246,0.0
3: Bear / drawdown,0.037774724702477246,0.012055071601910222,0.0,0.9501702036956126
