,0: Recovery / risk-on,1: High-volatility / sideways,2: Calm / bull,3: Recovery / risk-on
0: Recovery / risk-on,0.9767687571598586,0.004549115752172014,0.016382547554073923,0.00229957953389546
1: High-volatility / sideways,0.012727850962822475,0.9808855804426478,0.0063865685945297245,1.071111572058838e-39
2: Calm / bull,0.012354456488432987,0.009878654701428524,0.9777668888101385,0.0
3: Recovery / risk-on,0.0,0.015970297623246605,0.0,0.9840297023767535
