regime,observations,frequency_pct,mean_daily_return,annualized_return,annualized_volatility,avg_duration_days,median_duration_days,segments,avg_drawdown,sharpe_like,regime_name,color
0,1716,0.30387816539755624,-2.4241007670067205e-05,-0.5723350444694766,0.22111170350360582,68.64,50.0,25,-0.008757610578239164,-2.5884430150036954,Calm / low-volatility,#5abf90
1,1784,0.3159199574995573,-0.0001612394771082215,-0.9964834919561554,0.3606696444108743,49.55555555555556,31.0,36,-0.034263655898449055,-2.762870420059424,Bear / drawdown,#d95f02
2,823,0.14574110146980698,-0.00024737588246925846,-0.9998281903245579,0.8130167382755036,51.4375,17.0,16,-0.055002855804776554,-1.2297756531375992,Stress / bear,#c0392b
3,1324,0.23446077563307952,0.00020457367651038894,1295.6360114193353,0.40762752020499887,42.70967741935484,22.0,31,-0.008552954822081278,3178.480223238486,Recovery / risk-on,#4c78a8
