n_states,log_likelihood,n_parameters,aic,bic
2,-3566.1789741604703,23,7178.3579483209405,7279.640154873441
3,-3008.145855516089,38,6092.291711032178,6259.627530553701
4,-2718.1146989217536,55,5546.229397843507,5788.4259787299225
