regime,observations,frequency_pct,mean_daily_return,annualized_return,annualized_volatility,avg_duration_days,median_duration_days,segments,avg_drawdown,sharpe_like,regime_name,color
0,885,0.2855759922555663,0.0007393393553833949,0.3096489906212705,0.5165144560442927,42.142857142857146,20.0,21,-0.1572870539571878,0.5994972396178533,Calm / bull,#2ca25f
1,563,0.18167150693772185,-0.0024269127839201543,-0.588069163469667,1.2450457924483016,62.55555555555556,67.0,9,-0.5034347287963739,-0.4723273369032212,High-volatility / sideways,#f0b429
2,847,0.27331397224911264,-0.0046910839133222915,-0.8202654747924131,0.7484189359035645,44.578947368421055,42.0,19,-0.41031439021791477,-1.0959977566603234,Stress / bear,#c0392b
3,804,0.25943852855759925,0.006261327576576159,8.759679099887267,0.8765915427944094,61.84615384615385,45.0,13,-0.09841335814691086,9.992885708163522,Recovery / risk-on,#4c78a8
