regime,observations,frequency_pct,mean_daily_return,annualized_return,annualized_volatility,avg_duration_days,median_duration_days,segments,avg_drawdown,sharpe_like,regime_name,color
0,2107,0.42055888223552895,0.00020279777142850897,0.43003511475884326,0.08602626103061344,70.23333333333333,40.0,30,-0.003924054322226642,4.998881848483573,Calm / bull,#2ca25f
1,850,0.16966067864271456,0.0005950968031955828,1.8560470917247978,0.12193244570952445,29.310344827586206,24.0,29,-0.007410158820004034,15.221929494848288,Recovery / risk-on,#4c78a8
2,1432,0.28582834331337326,-0.0002658972271488702,-0.37443815328817465,0.15360833949113248,32.54545454545455,24.0,44,-0.026946124890128535,-2.437616046945096,Stress / bear,#c0392b
3,621,0.12395209580838323,-2.0194767603842756e-05,-0.03499686579050987,0.28573306672259113,103.5,75.5,6,-0.06815096710038555,-0.12248097915978054,High-volatility / sideways,#f0b429
