,0: Calm / bull,1: Stress / bear,2: Recovery / risk-on,3: Bear / drawdown
0: Calm / bull,0.7821902578651245,0.03122391884207647,0.03025066491710063,0.1563351583756984
1: Stress / bear,0.04821930482458877,0.8524415143328093,0.05279277002585361,0.046546410816748214
2: Recovery / risk-on,0.1297699186933801,2.2203754889705182e-72,0.8702300813066199,2.1146622444350817e-28
3: Bear / drawdown,0.1354365853601221,0.0412549257537931,6.1789649145003536e-09,0.8233084827071199
