,0: Calm / bull,1: Recovery / risk-on,2: Stress / bear,3: High-volatility / sideways
0: Calm / bull,0.9853056640033082,0.0008298091602282312,0.013864526836463453,2.0236264972926255e-253
1: Recovery / risk-on,0.019792348317157656,0.9642831862162414,0.015924465466600816,1.1015746941519819e-75
2: Stress / bear,0.009676304633170324,0.017713139837633344,0.9682457927997643,0.004364762729432046
3: High-volatility / sideways,2.0093727554645833e-246,0.006341062834386631,0.003658331945831122,0.9900006052197823
