regime,observations,buy_hold_ann_return,trend_ann_return,trend_exposure_pct,regime_name
0,91,-0.6003699987940707,-0.3971086386510039,0.25274725274725274,Stress / bear
1,228,3.1762442302808065,2.5634075873447344,0.9736842105263158,Recovery / risk-on
2,88,14.21697588272131,12.397860559959822,0.9772727272727273,Recovery / risk-on
3,158,-0.37511621721964905,-0.3454968123860662,0.3924050632911392,Calm / low-volatility
