n_states,log_likelihood,n_parameters,aic,bic
2,-30111.060313878632,23,60268.120627757264,60424.36323578828
3,-23753.163078979847,38,47582.326157959695,47840.46611905442
4,-20924.792855750107,55,41959.585711500215,42333.20933940048
