regime,observations,frequency_pct,mean_daily_return,annualized_return,annualized_volatility,avg_duration_days,median_duration_days,segments,avg_drawdown,sharpe_like,regime_name,color
0,2188,0.3314649295561279,0.001263688119129025,0.37471765058877393,0.08478100368379916,29.56756756756757,24.5,74,-0.004159256325694777,4.419830319375882,Calm / bull,#2ca25f
1,1864,0.28238145735494624,-9.870612453288796e-05,-0.02456833347825016,0.21215565091843958,53.25714285714286,42.0,35,-0.08126156428388269,-0.11580334236628526,High-volatility / sideways,#f0b429
2,534,0.08089683381305862,-0.0004685248229437944,-0.11138918966920164,0.43973245866352845,59.333333333333336,32.0,9,-0.21187985425398298,-0.2533112747868214,Stress / bear,#c0392b
3,2015,0.3052567792758673,-0.00035765709527080247,-0.08620197357076531,0.14272281574416007,21.43617021276596,15.5,94,-0.02952139492661373,-0.6039817328526362,Bear / drawdown,#d95f02
