n_states,log_likelihood,n_parameters,aic,bic
2,-25153.935058017505,23,50353.87011603501,50500.016797982214
3,-20730.06198717366,38,41536.12397434732,41777.58370973835
4,-18322.339803643037,55,36754.679607286074,37104.16080324677
5,-18340.873135099395,74,36829.74627019879,37299.957333855
6,-16341.067171230963,95,32872.134342461926,33475.783680939494
