n_states,log_likelihood,n_parameters,aic,bic
2,-559.3972256888636,23,1164.7944513777272,1224.4822079308228
3,-501.2587841761474,38,1078.5175683522948,1177.1321226574091
4,-445.7979819190341,55,1001.5959638380682,1144.3275555954706
