n_states,log_likelihood,n_parameters,aic,bic
2,-33688.07442033569,23,67422.14884067138,67577.95448136912
3,-33687.065431118936,38,67450.13086223787,67707.54887730369
4,-24653.77564319031,55,49417.55128638062,49790.12999239695
