,0: Recovery / risk-on,1: Calm / bull,2: Stress / bear,3: Bear / drawdown
0: Recovery / risk-on,0.9733273936636725,0.0030778037931036614,0.007915694144882225,0.015679108398341687
1: Calm / bull,0.00149402704812149,0.985357491646248,3.79300819254829e-287,0.01314848130563053
2: Stress / bear,0.029106436384934327,8.240171686891476e-240,0.9698138110457926,0.001079752569273132
3: Bear / drawdown,0.0030975984394305514,0.01061818516211955,0.005354722113353122,0.9809294942850968
