regime,observations,buy_hold_ann_return,trend_ann_return,trend_exposure_pct,regime_name
0,2180,0.3811579296309413,0.3811579296309413,1.0,Calm / bull
1,1710,0.012527006146324515,-0.028347951671849225,0.36081871345029237,High-volatility / sideways
2,534,-0.021500531028115777,-0.002745261182124037,0.06367041198501873,Stress / bear
3,1978,-0.07810098576008417,-0.12243733325293626,0.9059656218402427,Bear / drawdown
