regime,observations,frequency_pct,mean_daily_return,annualized_return,annualized_volatility,avg_duration_days,median_duration_days,segments,avg_drawdown,sharpe_like,regime_name,color
0,102,0.16887417218543047,-0.0228122235358732,-0.6987983537441798,0.8761424073045839,11.333333333333334,11.0,9,-0.4678426704699605,-0.7975853558943735,Stress / bear,#c0392b
1,234,0.38741721854304634,0.025543338710021235,2.7120083036848253,0.4864762290265479,13.764705882352942,9.0,17,-0.04991394113643074,5.57480127880375,Recovery / risk-on,#4c78a8
2,88,0.1456953642384106,0.04453892257058234,8.640080051729736,0.9685310810358901,14.666666666666666,11.5,6,-0.08086118551252156,8.920808243436813,Recovery / risk-on,#4c78a8
3,180,0.2980132450331126,-0.012245328847052428,-0.4730701609913598,0.4568169672122071,8.571428571428571,7.0,21,-0.28321132932969445,-1.0355792252602616,Calm / low-volatility,#5abf90
