,0: Calm / bull,1: High-volatility / sideways,2: Stress / bear,3: Recovery / risk-on
0: Calm / bull,0.9769405142018993,1.0617036224909209e-89,0.0134678070098897,0.009591678788211102
1: High-volatility / sideways,4.717563474779895e-147,0.9830749230502945,0.009837635962120613,0.0070874409875847436
2: Stress / bear,0.016817540244065128,0.006084929029548214,0.9770975285409512,2.185435491557674e-09
3: Recovery / risk-on,0.009391116626565211,0.005615569768930039,0.0018505229965279297,0.9831427906079768
