n_states,log_likelihood,n_parameters,aic,bic
2,-7462.7942046713715,23,14971.588409342743,15089.153188022156
3,-6218.5841477728445,38,12513.168295545689,12707.405755972542
4,-5282.465293368356,55,10674.930586736711,10956.063753144
