regime,observations,frequency_pct,mean_daily_return,annualized_return,annualized_volatility,avg_duration_days,median_duration_days,segments,avg_drawdown,sharpe_like,regime_name,color
0,1254,0.19396751740139212,0.001079622387025081,0.3124794831855615,0.25669013453022144,38.0,25.0,33,-0.0992118882323946,1.217341226445817,Recovery / risk-on,#4c78a8
1,2023,0.3129156999226605,0.0011053113002952308,0.3209941871170783,0.1381953952702822,72.25,63.0,28,-0.018738349614202714,2.3227560259101154,Calm / bull,#2ca25f
2,766,0.11848414539829853,-0.001773942509659454,-0.3607313483579273,0.43283956702374426,34.81818181818182,27.0,22,-0.25209896339996796,-0.8334065918195936,Stress / bear,#c0392b
3,2422,0.3746326372776489,-0.0007935690925721106,-0.18131738857153068,0.1890228824010385,53.82222222222222,42.0,45,-0.10356233510344118,-0.9592351268183523,Bear / drawdown,#d95f02
