n_states,log_likelihood,n_parameters,aic,bic
2,-95528.83966837272,23,191103.67933674544,191282.0827068539
3,-85241.05582335184,38,170558.11164670368,170852.8650407959
4,-75056.32136696616,55,150222.64273393233,150649.25948853948
