regime,observations,buy_hold_ann_return,trend_ann_return,trend_exposure_pct,regime_name
0,545,-0.38755099352939726,-0.32074471663741055,0.23853211009174313,Bear / drawdown
1,914,6.352027975564393,5.1698616696332556,0.9912472647702407,Recovery / risk-on
2,546,-0.4763878149043238,-0.49380958226280114,0.25274725274725274,Bear / drawdown
3,805,9.542195700659631,6.909628693763144,0.9664596273291925,Recovery / risk-on
4,868,0.08221449353055243,0.06086889130770756,0.5910138248847926,Calm / low-volatility
5,371,-0.47553132486001826,-0.55540883831087,0.1320754716981132,Stress / bear
