n_states,log_likelihood,n_parameters,aic,bic
2,-23735.41864133085,23,47516.8372826617,47666.77868012551
3,-19262.691406878723,38,38601.382813757446,38849.11207913244
4,-17195.544770838602,55,34501.089541677204,34859.64505735155
